Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,395,1,2023-10-26,PHI,@,MIL,L 117-118,*,36:26,9,21,.429,3,7,.429,6,14,.429,.500,3,8,.375,0,7,7,6,0,1,7,5,24,8.9,-1
2,396,2,2023-10-28,PHI,@,TOR,W 114-107,*,35:21,14,21,.667,1,3,.333,13,18,.722,.690,5,6,.833,0,9,9,8,1,2,1,0,34,34.2,-2
3,397,3,2023-10-29,PHI,,POR,W 126-98,*,29:25,12,22,.545,2,4,.500,10,18,.556,.591,9,12,.750,5,10,15,7,2,6,3,3,35,36.6,28
4,398,4,2023-11-02,PHI,,TOR,W 114-99,*,34:45,8,22,.364,0,2,.000,8,20,.400,.364,12,13,.923,5,8,13,7,0,1,4,2,28,22.1,22
5,399,5,2023-11-04,PHI,,PHO,W 112-100,*,30:57,9,18,.500,3,3,1.000,6,15,.400,.583,5,5,1.000,3,8,11,3,0,1,4,2,26,19.5,4
6,400,6,2023-11-06,PHI,,WAS,W 146-128,*,30:31,17,25,.680,0,2,.000,17,23,.739,.680,14,14,1.000,2,9,11,6,1,1,1,2,48,45.5,15
7,401,7,2023-11-08,PHI,,BOS,W 106-103,*,37:26,10,20,.500,1,4,.250,9,16,.563,.525,6,6,1.000,1,9,10,4,1,4,6,3,27,19.8,4
8,402,8,2023-11-10,PHI,@,DET,W 114-106,*,35:48,8,21,.381,1,4,.250,7,17,.412,.405,16,19,.842,7,9,16,3,0,2,5,3,33,25.2,1
9,403,9,2023-11-12,PHI,,IND,W 137-126,*,32:54,12,26,.462,1,4,.250,11,22,.500,.481,12,14,.857,8,5,13,7,1,1,3,2,37,32.7,-1
10,404,10,2023-11-14,PHI,,IND,L 126-132,*,37:40,11,22,.500,0,4,.000,11,18,.611,.500,17,17,1.000,3,9,12,6,3,0,5,4,39,33.4,-9
11,405,11,2023-11-15,PHI,,BOS,L 107-117,*,33:55,8,16,.500,0,2,.000,8,14,.571,.500,4,4,1.000,3,6,9,7,1,0,2,3,20,18.6,-25
12,406,12,2023-11-17,PHI,@,ATL,W 126-116,*,36:33,10,19,.526,1,3,.333,9,16,.563,.553,11,11,1.000,2,5,7,8,2,0,4,3,32,28.0,16
13,407,13,2023-11-19,PHI,@,BRK,W 121-99,*,31:14,11,24,.458,1,2,.500,10,22,.455,.479,9,10,.900,2,10,12,9,0,1,1,3,32,28.4,25
14,408,14,2023-11-21,PHI,,CLE,L 119-122 (OT),*,41:01,9,21,.429,1,3,.333,8,18,.444,.452,13,16,.813,3,10,13,5,2,5,6,6,32,25.4,3
14,,15,2023-11-22,PHI,@,MIN,L 99-112,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,409,16,2023-11-25,PHI,@,OKC,W 127-123,*,37:22,8,18,.444,0,4,.000,8,14,.571,.444,19,21,.905,4,7,11,9,1,4,4,5,35,33.8,7
16,410,17,2023-11-27,PHI,,LAL,W 138-94,*,30:50,9,15,.600,2,3,.667,7,12,.583,.667,10,12,.833,4,7,11,11,1,1,3,2,30,32.8,11
16,,18,2023-11-29,PHI,@,NOP,L 114-124,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
16,,19,2023-12-01,PHI,@,BOS,L 119-125,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,411,20,2023-12-06,PHI,@,WAS,W 131-126,*,38:02,19,29,.655,1,2,.500,18,27,.667,.672,11,13,.846,6,7,13,7,1,1,6,2,50,42.6,8
