Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,95,1,2018-10-16,PHI,@,BOS,L 87-105,*,36:49,9,21,.429,1,4,.250,8,17,.471,.452,4,5,.800,2,8,10,2,1,2,5,3,23,12.9,-8
2,96,2,2018-10-18,PHI,,CHI,W 127-108,*,32:51,9,14,.643,0,3,.000,9,11,.818,.643,12,14,.857,1,11,12,3,1,4,2,4,30,29.3,26
3,97,3,2018-10-20,PHI,,ORL,W 116-115,*,33:41,13,26,.500,3,5,.600,10,21,.476,.558,3,4,.750,4,6,10,3,0,0,0,2,32,24.5,-8
4,98,4,2018-10-23,PHI,@,DET,L 132-133 (OT),*,38:41,11,20,.550,0,4,.000,11,16,.688,.550,11,14,.786,1,10,11,7,0,3,1,5,33,29.9,3
5,99,5,2018-10-24,PHI,@,MIL,L 108-123,*,35:54,9,24,.375,2,7,.286,7,17,.412,.417,10,13,.769,3,16,19,6,0,3,2,2,30,26.0,3
6,100,6,2018-10-27,PHI,,CHO,W 105-103,*,36:46,10,22,.455,1,5,.200,9,17,.529,.477,6,6,1.000,2,13,15,2,0,2,3,3,27,19.5,-2
7,101,7,2018-10-29,PHI,,ATL,W 113-92,*,29:35,3,9,.333,0,2,.000,3,7,.429,.333,4,4,1.000,2,4,6,6,0,2,4,3,10,7.9,12
8,102,8,2018-10-30,PHI,@,TOR,L 112-129,*,32:32,11,21,.524,3,4,.750,8,17,.471,.595,6,7,.857,5,6,11,4,0,1,2,4,31,25.5,-7
9,103,9,2018-11-01,PHI,,LAC,W 122-113,*,33:08,16,32,.500,3,8,.375,13,24,.542,.547,6,9,.667,4,9,13,1,0,4,2,5,41,28.8,16
10,104,10,2018-11-03,PHI,,DET,W 109-99,*,33:48,10,18,.556,1,3,.333,9,15,.600,.583,18,23,.783,0,17,17,1,0,2,4,5,39,29.6,1
11,105,11,2018-11-04,PHI,@,BRK,L 97-122,*,32:20,4,8,.500,0,1,.000,4,7,.571,.500,8,10,.800,1,14,15,4,0,1,5,5,16,12.6,-5
12,106,12,2018-11-07,PHI,@,IND,W 100-94,*,36:03,7,16,.438,1,5,.200,6,11,.545,.469,5,6,.833,1,9,10,2,1,3,5,2,20,13.3,7
13,107,13,2018-11-09,PHI,,CHO,W 133-132 (OT),*,39:03,11,18,.611,1,2,.500,10,16,.625,.639,19,22,.864,2,16,18,4,0,4,3,4,42,39.8,9
14,108,14,2018-11-10,PHI,@,MEM,L 106-112 (OT),*,39:22,4,15,.267,0,6,.000,4,9,.444,.267,6,10,.600,2,14,16,5,1,1,6,5,14,6.3,4
15,109,15,2018-11-12,PHI,@,MIA,W 124-114,*,35:40,8,15,.533,3,4,.750,5,11,.455,.633,16,20,.800,6,12,18,3,0,0,2,1,35,33.6,12
16,110,16,2018-11-14,PHI,@,ORL,L 106-111,*,35:48,6,20,.300,4,7,.571,2,13,.154,.400,3,4,.750,0,13,13,10,0,2,2,2,19,16.5,2
17,111,17,2018-11-16,PHI,,UTA,W 113-107,*,26:14,7,20,.350,1,4,.250,6,16,.375,.375,8,9,.889,1,6,7,2,2,3,1,4,23,16.8,12
