Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,329,1,2022-10-18,PHI,@,BOS,L 117-126,*,37:16,9,18,.500,1,6,.167,8,12,.667,.528,7,9,.778,1,14,15,5,0,1,6,4,26,17.7,-13
2,330,2,2022-10-20,PHI,,MIL,L 88-90,*,36:09,6,21,.286,1,3,.333,5,18,.278,.310,2,3,.667,1,11,12,3,0,1,4,2,15,4.3,-10
3,331,3,2022-10-22,PHI,,SAS,L 105-114,*,35:57,14,25,.560,0,2,.000,14,23,.609,.560,12,15,.800,3,10,13,3,1,2,2,2,40,33.7,6
4,332,4,2022-10-24,PHI,,IND,W 120-106,*,28:17,8,13,.615,1,3,.333,7,10,.700,.654,9,9,1.000,1,4,5,2,1,3,3,5,26,21.5,8
5,333,5,2022-10-26,PHI,@,TOR,L 109-119,*,37:31,12,17,.706,2,4,.500,10,13,.769,.765,5,7,.714,0,5,5,3,0,0,2,2,31,23.9,-5
5,,6,2022-10-28,PHI,@,TOR,W 112-90,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,334,7,2022-10-29,PHI,@,CHI,W 114-109,*,31:39,9,15,.600,1,2,.500,8,13,.615,.633,6,9,.667,2,5,7,4,1,0,5,4,25,17.0,5
6,,8,2022-10-31,PHI,@,WAS,W 118-111,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,9,2022-11-02,PHI,,WAS,L 111-121,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,10,2022-11-04,PHI,,NYK,L 104-106,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
