Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,210,1,2020-12-23,PHI,,WAS,W 113-107,*,34:50,10,17,.588,1,1,1.000,9,16,.563,.618,8,9,.889,2,12,14,2,0,1,3,3,29,23.6,-2
2,211,2,2020-12-26,PHI,@,NYK,W 109-89,*,30:39,10,20,.500,2,4,.500,8,16,.500,.550,5,7,.714,4,6,10,2,1,1,1,3,27,21.7,18
2,,3,2020-12-27,PHI,@,CLE,L 94-118,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
3,212,4,2020-12-29,PHI,,TOR,W 100-93,*,37:53,7,17,.412,1,6,.167,6,11,.545,.441,14,16,.875,4,12,16,4,2,2,5,1,29,26.3,15
4,213,5,2020-12-31,PHI,@,ORL,W 116-92,*,26:41,7,11,.636,1,2,.500,6,9,.667,.682,6,8,.750,0,9,9,2,0,2,0,2,21,20.0,23
5,214,6,2021-01-02,PHI,,CHO,W 127-112,*,36:44,7,11,.636,1,2,.500,6,9,.667,.682,4,6,.667,3,11,14,4,1,1,5,2,19,17.4,19
6,215,7,2021-01-04,PHI,,CHO,W 118-101,*,24:54,4,10,.400,0,3,.000,4,7,.571,.400,6,8,.750,1,10,11,4,2,3,1,1,14,17.0,18
7,216,8,2021-01-06,PHI,,WAS,W 141-136,*,36:36,11,20,.550,3,4,.750,8,16,.500,.625,13,13,1.000,0,8,8,5,3,3,5,1,38,34.0,14
8,217,9,2021-01-07,PHI,@,BRK,L 109-122,*,29:52,7,14,.500,2,2,1.000,5,12,.417,.571,4,5,.800,0,12,12,3,0,1,5,5,20,12.0,-16
8,,10,2021-01-09,PHI,,DEN,L 103-115,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
