Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,549,1,2010-10-26,MIA,@,BOS,L 80-88,*,42:39,10,21,.476,3,6,.500,7,15,.467,.548,8,12,.667,0,4,4,3,1,2,8,1,31,16.0,1
2,550,2,2010-10-27,MIA,@,PHI,W 97-87,*,37:33,5,12,.417,0,2,.000,5,10,.500,.417,6,6,1.000,0,6,6,7,2,1,9,1,16,9.6,6
3,551,3,2010-10-29,MIA,,ORL,W 96-70,*,30:02,6,13,.462,2,3,.667,4,10,.400,.538,1,2,.500,0,6,6,7,0,0,3,4,15,10.0,13
4,552,4,2010-10-31,MIA,@,NJN,W 101-78,*,28:57,5,12,.417,0,4,.000,5,8,.625,.417,10,12,.833,0,7,7,7,2,0,5,3,20,15.6,18
5,553,5,2010-11-02,MIA,,MIN,W 129-97,*,32:26,7,12,.583,0,2,.000,7,10,.700,.583,6,8,.750,0,0,0,12,2,1,1,0,20,23.7,32
6,554,6,2010-11-05,MIA,@,NOH,L 93-96,*,41:12,6,16,.375,1,2,.500,5,14,.357,.406,7,8,.875,0,7,7,10,3,1,3,0,20,20.6,-6
7,555,7,2010-11-06,MIA,,NJN,W 101-89,*,33:35,9,16,.563,2,4,.500,7,12,.583,.625,3,5,.600,0,3,3,9,2,0,4,1,23,19.4,11
8,556,8,2010-11-09,MIA,,UTA,L 114-116 (OT),*,46:44,5,18,.278,0,1,.000,5,17,.294,.278,10,11,.909,2,9,11,14,1,3,2,3,20,22.8,4
9,557,9,2010-11-11,MIA,,BOS,L 107-112,*,44:28,9,21,.429,0,5,.000,9,16,.563,.429,17,22,.773,0,10,10,9,3,0,4,3,35,29.0,0
10,558,10,2010-11-13,MIA,,TOR,W 109-100,*,39:20,8,21,.381,0,1,.000,8,20,.400,.381,7,11,.636,1,1,2,11,2,0,3,0,23,17.6,11
11,559,11,2010-11-17,MIA,,PHO,W 123-96,*,23:03,9,15,.600,0,2,.000,9,13,.692,.600,2,3,.667,3,5,8,9,3,0,3,5,20,20.6,24
12,560,12,2010-11-19,MIA,,CHA,W 95-87,*,39:29,12,25,.480,2,5,.400,10,20,.500,.520,6,7,.857,0,2,2,5,2,0,4,1,32,20.6,4
13,561,13,2010-11-20,MIA,@,MEM,L 95-97,*,42:06,11,23,.478,2,4,.500,9,19,.474,.522,5,6,.833,0,3,3,11,1,0,4,2,29,21.7,-1
14,562,14,2010-11-22,MIA,,IND,L 77-93,*,41:34,6,14,.429,2,8,.250,4,6,.667,.500,11,15,.733,0,5,5,6,1,0,6,3,25,15.5,-1
15,563,15,2010-11-24,MIA,@,ORL,L 95-104,*,40:44,9,18,.500,1,3,.333,8,15,.533,.528,6,8,.750,1,5,6,4,1,0,3,3,25,17.0,-15
16,564,16,2010-11-26,MIA,,PHI,W 99-90,*,40:34,5,15,.333,1,5,.200,4,10,.400,.367,9,11,.818,1,7,8,6,2,1,2,1,20,18.0,11
17,565,17,2010-11-27,MIA,@,DAL,L 95-106,*,36:04,5,19,.263,0,4,.000,5,15,.333,.263,13,15,.867,2,6,8,4,1,0,5,3,23,11.7,-14
