Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,160,1,2005-11-02,CLE,,NOK,W 109-87,*,33:23,9,16,.563,6,7,.857,3,9,.333,.750,7,8,.875,1,2,3,4,2,0,3,3,31,24.9,22
2,161,2,2005-11-04,CLE,@,SAS,L 76-102,*,36:34,7,16,.438,0,3,.000,7,13,.538,.438,6,7,.857,0,6,6,4,0,1,3,3,20,12.3,-19
3,162,3,2005-11-05,CLE,@,MEM,L 106-113,*,40:51,14,29,.483,4,9,.444,10,20,.500,.552,4,5,.800,0,2,2,6,2,0,2,2,36,24.9,-3
4,163,4,2005-11-07,CLE,@,TOR,W 105-93,*,36:28,9,17,.529,0,2,.000,9,15,.600,.529,9,12,.750,0,3,3,6,1,2,1,3,27,22.8,0
5,164,5,2005-11-09,CLE,,SEA,W 112-85,*,35:38,10,18,.556,0,2,.000,10,16,.625,.556,11,11,1.000,1,4,5,1,0,1,4,1,31,21.3,25
6,165,6,2005-11-11,CLE,,MEM,W 89-70,*,25:40,5,11,.455,0,1,.000,5,10,.500,.455,6,6,1.000,1,5,6,2,3,1,3,5,16,12.6,24
7,166,7,2005-11-13,CLE,@,ORL,W 108-100 (OT),*,48:54,9,20,.450,1,4,.250,8,16,.500,.475,7,11,.636,0,5,5,3,0,1,2,2,26,15.5,7
8,167,8,2005-11-15,CLE,,WAS,W 114-99,*,42:26,15,23,.652,2,3,.667,13,20,.650,.696,5,5,1.000,1,9,10,4,0,2,3,1,37,31.1,17
9,168,9,2005-11-18,CLE,,ORL,W 102-84,*,33:56,6,17,.353,0,3,.000,6,14,.429,.353,4,6,.667,1,5,6,4,2,0,4,2,16,7.9,25
10,169,10,2005-11-19,CLE,@,PHI,W 123-120,*,46:51,14,24,.583,0,2,.000,14,22,.636,.583,8,10,.800,2,9,11,10,1,1,5,1,36,31.4,8
11,170,11,2005-11-22,CLE,,BOS,W 115-93,*,40:59,13,20,.650,1,3,.333,12,17,.706,.675,9,11,.818,0,5,5,4,2,2,1,4,36,31.5,14
12,171,12,2005-11-24,CLE,@,IND,L 76-98,*,43:02,6,20,.300,0,4,.000,6,16,.375,.300,7,11,.636,1,9,10,4,5,1,6,4,19,10.1,-18
13,172,13,2005-11-26,CLE,,MIN,L 85-89,*,44:04,13,29,.448,6,11,.545,7,18,.389,.552,6,6,1.000,2,3,5,2,4,0,2,2,38,27.8,-3
14,173,14,2005-11-30,CLE,,LAC,W 112-105 (OT),*,49:56,7,20,.350,0,3,.000,7,17,.412,.350,14,17,.824,0,7,7,9,1,1,6,1,28,19.3,6
15,174,15,2005-12-02,CLE,@,SEA,L 108-115,*,45:07,14,27,.519,0,5,.000,14,22,.636,.519,6,8,.750,0,3,3,8,1,3,1,1,34,28.1,-2
16,175,16,2005-12-03,CLE,@,LAC,L 90-102,*,44:41,8,25,.320,3,5,.600,5,20,.250,.380,11,14,.786,0,5,5,6,1,1,1,3,30,19.7,-11
17,176,17,2005-12-06,CLE,@,SAC,W 102-97,*,44:19,10,23,.435,1,5,.200,9,18,.500,.457,9,12,.750,2,4,6,6,2,3,5,2,30,21.8,3
18,177,18,2005-12-09,CLE,,NJN,L 100-109,*,44:49,11,26,.423,0,4,.000,11,22,.500,.423,10,15,.667,2,4,6,3,0,1,7,3,32,13.4,-4
19,178,19,2005-12-10,CLE,@,MIL,L 106-111,*,42:48,19,29,.655,5,9,.556,14,20,.700,.741,9,10,.900,0,7,7,7,2,0,3,5,52,42.9,-3
20,179,20,2005-12-13,CLE,,ATL,L 94-100,*,45:08,13,23,.565,3,6,.500,10,17,.588,.630,10,16,.625,0,10,10,6,2,0,6,5,39,26.9,-4
21,180,21,2005-12-15,CLE,,DEN,W 94-85,*,45:06,11,18,.611,1,4,.250,10,14,.714,.639,3,6,.500,0,4,4,9,1,0,3,3,26,20.9,16
22,181,22,2005-12-17,CLE,,MIA,W 115-107,*,46:23,12,19,.632,2,4,.500,10,15,.667,.684,15,16,.938,0,5,5,10,1,0,4,3,41,36.4,9
23,182,23,2005-12-20,CLE,,UTA,W 110-85,*,28:55,8,12,.667,1,1,1.000,7,11,.636,.708,8,9,.889,2,4,6,4,3,2,5,1,25,23.8,20
24,183,24,2005-12-22,CLE,@,CHI,W 108-100,*,43:51,12,25,.480,4,6,.667,8,19,.421,.560,9,13,.692,0,5,5,6,4,0,2,2,37,29.6,15
25,184,25,2005-12-23,CLE,,IND,W 94-89,*,43:51,4,16,.250,0,1,.000,4,15,.267,.250,6,11,.545,1,7,8,9,1,0,3,1,14,9.1,1
26,185,26,2005-12-26,CLE,,CHI,W 102-91,*,44:58,12,25,.480,0,5,.000,12,20,.600,.480,8,12,.667,1,7,8,6,2,2,2,0,32,26.1,14
27,186,27,2005-12-27,CLE,@,NJN,L 91-96,*,40:18,12,21,.571,1,5,.200,11,16,.688,.595,6,9,.667,1,9,10,8,2,0,4,3,31,25.7,-2
28,187,28,2005-12-31,CLE,,DET,W 97-84,*,44:33,11,22,.500,2,5,.400,9,17,.529,.545,6,7,.857,1,6,7,7,4,1,5,2,30,24.9,5
29,188,29,2006-01-04,CLE,@,MIL,W 91-84,*,45:42,12,29,.414,2,8,.250,10,21,.476,.448,6,7,.857,2,9,11,11,5,1,4,1,32,29.2,8
30,189,30,2006-01-05,CLE,,HOU,L 81-90,*,44:15,13,19,.684,3,7,.429,10,12,.833,.763,3,6,.500,1,8,9,5,1,0,3,4,32,25.7,-10
31,190,31,2006-01-07,CLE,,MIL,W 96-88,*,45:12,14,22,.636,3,7,.429,11,15,.733,.705,4,9,.444,2,5,7,6,0,1,0,1,35,30.6,4
32,191,32,2006-01-10,CLE,,NYK,L 84-92,*,46:00,14,31,.452,0,7,.000,14,24,.583,.452,8,11,.727,0,7,7,7,0,1,1,0,36,25.4,-2
33,192,33,2006-01-12,CLE,@,LAL,L 98-99,*,40:06,11,22,.500,2,3,.667,9,19,.474,.545,4,9,.444,0,2,2,9,0,0,5,2,28,16.1,5
34,193,34,2006-01-14,CLE,@,PHO,L 106-115,*,43:45,18,28,.643,5,8,.625,13,20,.650,.732,5,5,1.000,0,7,7,8,1,0,1,1,46,40.9,-5
35,194,35,2006-01-15,CLE,@,POR,L 87-89,*,41:19,10,26,.385,1,5,.200,9,21,.429,.404,8,11,.727,2,11,13,7,1,3,2,3,29,23.1,12
36,195,36,2006-01-18,CLE,@,DEN,L 89-90,*,41:35,7,20,.350,2,6,.333,5,14,.357,.400,8,15,.533,2,9,11,9,0,0,2,5,24,16.4,-3
37,196,37,2006-01-20,CLE,@,GSW,L 79-99,*,35:12,5,22,.227,0,3,.000,5,19,.263,.227,4,6,.667,1,8,9,6,0,0,6,3,14,-0.1,-9
38,197,38,2006-01-21,CLE,@,UTA,W 108-90,*,42:47,19,35,.543,4,8,.500,15,27,.556,.600,9,11,.818,0,5,5,8,2,0,3,4,51,37.8,20
39,198,39,2006-01-24,CLE,,IND,W 96-66,*,35:22,7,21,.333,2,5,.400,5,16,.313,.381,7,10,.700,0,7,7,8,2,2,1,0,23,20.0,33
40,199,40,2006-01-25,CLE,@,ATL,W 106-97,*,45:54,11,22,.500,1,5,.200,10,17,.588,.523,15,20,.750,1,8,9,6,3,1,5,2,38,30.2,10
41,200,41,2006-01-27,CLE,@,IND,W 93-89,*,45:06,12,23,.522,1,2,.500,11,21,.524,.543,5,8,.625,1,6,7,9,3,1,6,1,30,23.6,4
42,201,42,2006-01-29,CLE,,PHO,W 113-106,*,42:45,17,33,.515,3,7,.429,14,26,.538,.561,7,12,.583,1,10,11,7,1,1,6,1,44,29.6,5
43,202,43,2006-01-30,CLE,@,CHA,W 103-91,*,31:34,11,19,.579,2,6,.333,9,13,.692,.632,6,11,.545,1,5,6,6,5,1,4,2,30,26.4,30
44,203,44,2006-02-01,CLE,,NJN,W 91-85,*,44:26,8,21,.381,0,2,.000,8,19,.421,.381,10,12,.833,0,11,11,10,1,1,4,2,26,20.9,5
45,204,45,2006-02-02,CLE,@,MIA,L 73-101,*,39:18,12,29,.414,2,5,.400,10,24,.417,.448,3,3,1.000,1,4,5,7,1,0,1,0,29,20.3,-15
46,205,46,2006-02-04,CLE,,PHI,L 95-100,*,47:11,10,17,.588,2,7,.286,8,10,.800,.647,9,10,.900,2,2,4,6,2,1,4,0,31,27.6,-7
47,206,47,2006-02-06,CLE,,MIL,W 89-86,*,45:21,9,20,.450,2,7,.286,7,13,.538,.500,2,4,.500,0,9,9,12,0,2,4,4,22,17.7,-3
48,207,48,2006-02-08,CLE,@,MIN,W 97-91,*,45:38,11,34,.324,1,5,.200,10,29,.345,.338,12,17,.706,1,10,11,8,1,0,0,3,35,22.7,10
49,208,49,2006-02-10,CLE,@,WAS,L 89-101,*,45:23,6,23,.261,0,3,.000,6,20,.300,.261,6,8,.750,1,8,9,8,1,0,2,2,18,10.4,-13
50,209,50,2006-02-11,CLE,,GSW,L 91-99,*,43:48,10,17,.588,5,6,.833,5,11,.455,.735,8,8,1.000,1,4,5,6,1,2,2,5,33,29.6,-15
