Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1062,1,2017-10-17,CLE,,BOS,W 102-99,*,41:12,12,19,.632,1,5,.200,11,14,.786,.658,4,4,1.000,1,15,16,9,0,2,4,3,29,28.2,0
2,1063,2,2017-10-20,CLE,@,MIL,W 116-97,*,37:25,10,16,.625,2,4,.500,8,12,.667,.688,2,2,1.000,1,4,5,8,1,1,5,2,24,20.2,13
3,1064,3,2017-10-21,CLE,,ORL,L 93-114,*,31:12,8,15,.533,1,3,.333,7,12,.583,.567,5,6,.833,0,4,4,2,1,1,1,0,22,17.6,-31
4,1065,4,2017-10-24,CLE,,CHI,W 119-112,*,37:15,13,20,.650,4,6,.667,9,14,.643,.750,4,5,.800,0,2,2,13,3,0,2,1,34,35.1,7
5,1066,5,2017-10-25,CLE,@,BRK,L 107-112,*,41:22,12,20,.600,1,2,.500,11,18,.611,.625,4,8,.500,1,9,10,13,0,4,8,1,29,25.1,-2
6,1067,6,2017-10-28,CLE,@,NOP,L 101-123,*,30:46,6,11,.545,1,3,.333,5,8,.625,.591,5,6,.833,0,3,3,8,0,0,4,3,18,13.6,-10
7,1068,7,2017-10-29,CLE,,NYK,L 95-114,*,39:28,7,15,.467,1,4,.250,6,11,.545,.500,1,1,1.000,1,9,10,7,2,0,4,2,16,13.8,-17
8,1069,8,2017-11-01,CLE,,IND,L 107-124,*,37:28,14,22,.636,1,5,.200,13,17,.765,.659,4,5,.800,1,5,6,11,2,1,8,1,33,27.0,-12
9,1070,9,2017-11-03,CLE,@,WAS,W 130-122,*,42:41,23,34,.676,2,4,.500,21,30,.700,.706,9,9,1.000,5,6,11,7,3,2,3,2,57,53.2,6
10,1071,10,2017-11-05,CLE,,ATL,L 115-117,*,40:35,10,17,.588,0,3,.000,10,14,.714,.588,6,6,1.000,2,3,5,13,1,2,6,4,26,24.3,-4
11,1072,11,2017-11-07,CLE,,MIL,W 124-119,*,36:42,10,20,.500,2,4,.500,8,16,.500,.550,8,10,.800,1,7,8,9,3,0,1,1,30,29.9,6
12,1073,12,2017-11-09,CLE,@,HOU,L 113-117,*,40:01,15,24,.625,1,4,.250,14,20,.700,.646,2,3,.667,0,4,4,7,1,1,8,4,33,20.0,5
13,1074,13,2017-11-11,CLE,@,DAL,W 111-104,*,41:47,6,14,.429,1,3,.333,5,11,.455,.464,6,8,.750,1,10,11,4,0,1,6,3,19,10.8,5
14,1075,14,2017-11-13,CLE,@,NYK,W 104-101,*,36:16,7,14,.500,2,4,.500,5,10,.500,.571,7,10,.700,3,6,9,12,0,3,5,1,23,23.8,2
15,1076,15,2017-11-15,CLE,@,CHO,W 115-107,*,36:38,12,24,.500,4,7,.571,8,17,.471,.583,3,3,1.000,2,4,6,8,2,1,3,4,31,25.3,1
16,1077,16,2017-11-17,CLE,,LAC,W 118-113 (OT),*,46:08,17,26,.654,4,9,.444,13,17,.765,.731,1,5,.200,1,13,14,6,0,0,6,0,39,28.8,1
17,1078,17,2017-11-20,CLE,@,DET,W 116-88,*,27:16,7,14,.500,3,5,.600,4,9,.444,.607,1,1,1.000,0,2,2,8,1,1,0,2,18,18.1,21
