Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,766,1,2013-10-29,MIA,,CHI,W 107-95,*,38:01,5,11,.455,0,1,.000,5,10,.500,.455,7,9,.778,0,6,6,8,1,0,2,0,17,16.9,8
2,767,2,2013-10-30,MIA,@,PHI,L 110-114,*,36:38,9,17,.529,4,7,.571,5,10,.500,.647,3,4,.750,0,4,4,13,0,0,4,3,25,21.4,-8
3,768,3,2013-11-01,MIA,@,BRK,L 100-101,*,42:14,11,19,.579,1,2,.500,10,17,.588,.605,3,5,.600,1,6,7,6,2,1,5,2,26,19.9,-3
4,769,4,2013-11-03,MIA,,WAS,W 103-93,*,34:41,9,14,.643,3,5,.600,6,9,.667,.750,4,5,.800,0,3,3,5,1,0,6,2,25,17.0,16
5,770,5,2013-11-05,MIA,@,TOR,W 104-95,*,36:01,13,20,.650,1,3,.333,12,17,.706,.675,8,8,1.000,2,6,8,8,0,1,1,2,35,33.9,3
6,771,6,2013-11-07,MIA,,LAC,W 102-97,*,37:09,6,13,.462,1,3,.333,5,10,.500,.500,5,9,.556,0,5,5,6,1,0,4,4,18,10.8,-1
7,772,7,2013-11-09,MIA,,BOS,L 110-111,*,36:32,9,13,.692,0,0,,9,13,.692,.692,7,9,.778,1,7,8,10,0,0,5,1,25,23.1,5
8,773,8,2013-11-12,MIA,,MIL,W 118-95,*,29:58,13,21,.619,4,7,.571,9,14,.643,.714,3,6,.500,0,3,3,2,0,0,3,0,33,21.6,14
9,774,9,2013-11-15,MIA,,DAL,W 110-104,*,36:58,14,18,.778,1,1,1.000,13,17,.765,.806,10,11,.909,0,6,6,4,1,0,6,0,39,31.2,0
10,775,10,2013-11-16,MIA,@,CHA,W 97-81,*,31:55,13,18,.722,0,0,,13,18,.722,.722,4,4,1.000,1,3,4,7,1,1,3,1,30,27.4,7
11,776,11,2013-11-19,MIA,,ATL,W 104-88,*,30:42,6,13,.462,0,0,,6,13,.462,.462,1,3,.333,2,4,6,5,1,0,3,0,13,9.6,14
12,777,12,2013-11-20,MIA,@,ORL,W 120-92,*,29:05,5,11,.455,0,2,.000,5,9,.556,.455,11,11,1.000,1,5,6,7,1,1,4,0,21,20.1,23
13,778,13,2013-11-23,MIA,,ORL,W 101-99,*,37:35,7,13,.538,3,6,.500,4,7,.571,.654,5,7,.714,0,9,9,7,3,0,3,0,22,22.5,7
14,779,14,2013-11-25,MIA,,PHO,W 107-92,*,33:21,11,14,.786,2,4,.500,9,10,.900,.857,11,11,1.000,0,5,5,4,1,1,4,0,35,31.6,1
15,780,15,2013-11-27,MIA,@,CLE,W 95-84,*,37:06,9,19,.474,1,3,.333,8,16,.500,.500,9,11,.818,0,8,8,8,3,0,1,3,28,26.3,0
16,781,16,2013-11-29,MIA,@,TOR,W 90-83,*,36:27,10,17,.588,3,5,.600,7,12,.583,.676,4,6,.667,1,5,6,3,1,1,3,2,27,20.5,3
17,782,17,2013-12-01,MIA,,CHA,W 99-98,*,38:16,8,13,.615,1,3,.333,7,10,.700,.654,9,10,.900,0,5,5,4,1,1,3,0,26,22.7,-4
18,783,18,2013-12-03,MIA,,DET,L 97-107,*,36:58,8,15,.533,2,5,.400,6,10,.600,.600,5,8,.625,3,2,5,6,2,1,6,2,23,17.3,-6
19,784,19,2013-12-05,MIA,@,CHI,L 87-107,*,33:18,7,17,.412,1,4,.250,6,13,.462,.441,6,8,.750,0,5,5,2,3,0,1,2,21,15.2,-21
20,785,20,2013-12-07,MIA,@,MIN,W 103-82,*,30:34,9,12,.750,0,0,,9,12,.750,.750,3,5,.600,4,10,14,8,2,0,7,3,21,20.6,9
21,786,21,2013-12-08,MIA,@,DET,W 110-95,*,35:01,10,15,.667,0,2,.000,10,13,.769,.667,4,5,.800,1,6,7,9,2,0,6,2,24,21.1,18
22,787,22,2013-12-10,MIA,@,IND,L 84-90,*,38:32,6,16,.375,1,4,.250,5,12,.417,.406,4,6,.667,1,13,14,6,2,0,5,3,17,12.0,-2
23,788,23,2013-12-14,MIA,,CLE,W 114-107,*,40:37,9,12,.750,0,2,.000,9,10,.900,.750,7,10,.700,2,7,9,9,4,0,2,2,25,30.0,6
24,789,24,2013-12-16,MIA,,UTA,W 117-94,*,33:49,13,17,.765,0,1,.000,13,16,.813,.765,4,5,.800,1,8,9,9,1,0,3,1,30,29.9,24
25,790,25,2013-12-18,MIA,,IND,W 97-94,*,36:14,8,14,.571,1,3,.333,7,11,.636,.607,7,7,1.000,0,9,9,7,3,0,3,3,24,23.8,16
26,791,26,2013-12-20,MIA,,SAC,W 122-103,*,30:40,8,11,.727,1,2,.500,7,9,.778,.773,1,2,.500,2,4,6,8,1,1,1,1,18,21.6,14
