Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,239,1,2006-11-01,CLE,,WAS,W 97-94,*,40:38,11,24,.458,2,4,.500,9,20,.450,.500,2,6,.333,3,7,10,5,0,2,5,2,26,15.3,3
2,240,2,2006-11-03,CLE,@,SAS,W 88-81,*,41:53,14,26,.538,1,2,.500,13,24,.542,.558,6,11,.545,1,9,10,4,1,1,2,3,35,25.1,6
3,241,3,2006-11-04,CLE,@,CHA,L 88-92,*,38:06,3,13,.231,1,3,.333,2,10,.200,.269,9,10,.900,4,5,9,7,0,1,2,0,16,15.6,-3
4,242,4,2006-11-07,CLE,,ATL,L 95-104 (OT),*,47:17,13,26,.500,3,8,.375,10,18,.556,.558,5,11,.455,0,7,7,6,2,1,2,1,34,25.2,-3
5,243,5,2006-11-09,CLE,,CHI,W 113-94,*,37:50,6,13,.462,0,1,.000,6,12,.500,.462,7,8,.875,0,4,4,12,3,2,3,0,19,22.9,26
6,244,6,2006-11-11,CLE,,BOS,W 94-93,*,43:32,9,17,.529,1,4,.250,8,13,.615,.559,19,23,.826,1,7,8,5,3,0,2,4,38,33.8,6
7,245,7,2006-11-13,CLE,@,NYK,W 102-96,*,41:20,10,19,.526,3,4,.750,7,15,.467,.605,6,9,.667,0,4,4,6,2,1,3,2,29,22.8,10
8,246,8,2006-11-15,CLE,,POR,W 100-87,*,38:54,10,15,.667,3,6,.500,7,9,.778,.767,9,11,.818,0,7,7,7,2,1,4,2,32,29.6,16
9,247,9,2006-11-17,CLE,,MIN,W 92-76,*,40:30,12,24,.500,2,5,.400,10,19,.526,.542,11,14,.786,2,7,9,6,1,2,4,1,37,29.5,12
10,248,10,2006-11-18,CLE,@,WAS,L 99-111,*,33:20,8,20,.400,0,1,.000,8,19,.421,.400,4,5,.800,2,3,5,4,2,0,3,2,20,12.1,-22
11,249,11,2006-11-21,CLE,,MEM,W 97-94,*,41:59,7,21,.333,1,5,.200,6,16,.375,.357,0,1,.000,0,1,1,9,3,1,3,1,15,9.6,3
12,250,12,2006-11-22,CLE,@,TOR,L 87-95,*,39:55,11,24,.458,2,7,.286,9,17,.529,.500,6,9,.667,0,10,10,8,4,0,2,1,30,26.6,-7
13,251,13,2006-11-24,CLE,@,IND,L 87-97,*,42:26,6,14,.429,2,2,1.000,4,12,.333,.500,16,20,.800,1,6,7,5,1,0,3,6,30,22.6,1
14,252,14,2006-11-25,CLE,,PHI,W 108-95,*,40:50,10,20,.500,1,4,.250,9,16,.563,.525,4,7,.571,0,4,4,11,0,1,7,4,25,14.8,2
15,253,15,2006-11-29,CLE,,NYK,L 98-101,*,41:11,10,22,.455,0,5,.000,10,17,.588,.455,7,11,.636,1,6,7,6,0,1,5,1,27,16.0,-4
16,254,16,2006-12-01,CLE,@,ATL,W 106-95,*,42:55,12,23,.522,1,3,.333,11,20,.550,.543,6,10,.600,2,5,7,8,3,2,4,4,31,25.4,8
17,255,17,2006-12-02,CLE,@,HOU,L 63-81,*,35:44,7,22,.318,2,6,.333,5,16,.313,.364,5,7,.714,1,4,5,4,0,0,3,2,21,8.5,-13
18,256,18,2006-12-06,CLE,,TOR,W 95-91,*,40:30,11,18,.611,1,2,.500,10,16,.625,.639,3,5,.600,1,5,6,10,1,0,4,1,26,22.8,2
19,257,19,2006-12-09,CLE,,IND,W 107-75,*,31:52,11,16,.688,1,3,.333,10,13,.769,.719,4,6,.667,0,7,7,6,1,1,3,0,27,24.4,28
20,258,20,2006-12-11,CLE,@,NOK,L 89-95,*,41:36,7,18,.389,0,3,.000,7,15,.467,.389,1,1,1.000,3,4,7,6,4,0,3,1,15,13.3,-4
21,259,21,2006-12-13,CLE,,CHA,W 104-101,*,41:37,6,17,.353,0,2,.000,6,15,.400,.353,10,11,.909,1,7,8,7,1,1,6,1,22,15.1,3
22,260,22,2006-12-15,CLE,,SEA,W 106-84,*,33:37,9,14,.643,2,3,.667,7,11,.636,.714,2,3,.667,0,9,9,7,1,0,4,3,22,18.8,22
23,261,23,2006-12-16,CLE,@,ORL,L 74-81,*,41:03,10,19,.526,2,5,.400,8,14,.571,.579,7,9,.778,1,4,5,5,0,1,4,4,29,19.4,-7
24,262,24,2006-12-20,CLE,@,NJN,L 111-113,*,40:11,10,22,.455,1,3,.333,9,19,.474,.477,16,21,.762,0,1,1,8,2,1,3,4,37,27.6,8
25,263,25,2006-12-21,CLE,,DET,L 71-87,*,43:00,9,20,.450,0,1,.000,9,19,.474,.450,8,8,1.000,2,8,10,5,2,0,1,1,26,23.5,-20
26,264,26,2006-12-23,CLE,,ORL,W 86-83,*,42:54,13,21,.619,2,3,.667,11,18,.611,.667,4,10,.400,0,7,7,1,0,0,7,1,32,15.5,3
27,265,27,2006-12-27,CLE,@,ATL,W 89-76,*,39:31,10,25,.400,1,2,.500,9,23,.391,.420,6,8,.750,1,8,9,3,1,2,1,1,27,18.9,23
28,266,28,2006-12-29,CLE,,MIL,W 109-99,*,44:01,11,21,.524,2,6,.333,9,15,.600,.571,8,13,.615,1,3,4,5,1,1,3,5,32,21.5,11
29,267,29,2006-12-30,CLE,@,CHI,L 96-103,*,40:19,15,26,.577,3,4,.750,12,22,.545,.635,0,3,.000,2,7,9,3,1,0,5,4,33,19.6,6
30,268,30,2007-01-02,CLE,,SAS,W 82-78,*,40:14,7,17,.412,0,1,.000,7,16,.438,.412,5,11,.455,0,5,5,5,2,0,3,1,19,11.1,6
31,269,31,2007-01-03,CLE,@,BOS,W 107-104,*,44:47,11,20,.550,2,3,.667,9,17,.529,.600,8,10,.800,1,5,6,4,3,1,3,0,32,27.3,3
32,270,32,2007-01-05,CLE,@,MIL,W 95-86,*,42:50,3,13,.231,0,4,.000,3,9,.333,.231,2,2,1.000,0,5,5,9,1,0,2,1,8,6.5,9
33,271,33,2007-01-06,CLE,,NJN,W 96-91,*,44:00,9,21,.429,1,3,.333,8,18,.444,.452,0,0,,0,13,13,4,3,3,5,4,19,13.1,4
34,272,34,2007-01-09,CLE,@,SAC,W 108-98,*,43:25,14,26,.538,3,7,.429,11,19,.579,.596,3,3,1.000,1,3,4,7,2,1,3,3,34,26.4,13
35,273,35,2007-01-11,CLE,@,PHO,L 90-109,*,38:49,15,28,.536,3,9,.333,12,19,.632,.589,1,2,.500,2,4,6,6,1,0,5,2,34,22.0,-20
36,274,36,2007-01-13,CLE,@,LAC,W 104-92,*,42:02,10,23,.435,0,1,.000,10,22,.455,.435,8,8,1.000,1,5,6,6,1,0,2,4,28,19.7,14
37,275,37,2007-01-16,CLE,@,SEA,L 96-101,*,43:34,8,21,.381,1,7,.143,7,14,.500,.405,13,15,.867,1,6,7,8,2,1,4,0,30,24.5,-7
38,276,38,2007-01-17,CLE,@,POR,L 76-94,*,35:07,8,21,.381,1,4,.250,7,17,.412,.405,6,13,.462,3,3,6,2,1,0,4,0,23,10.1,-24
39,277,39,2007-01-19,CLE,@,DEN,L 99-110,*,43:52,9,23,.391,0,1,.000,9,22,.409,.391,12,14,.857,2,8,10,10,2,0,3,2,30,25.7,-3
40,278,40,2007-01-20,CLE,@,GSW,W 106-104 (OT),*,45:52,14,22,.636,2,7,.286,12,15,.800,.682,2,5,.400,0,7,7,5,4,0,9,2,32,20.8,5
41,279,41,2007-01-22,CLE,,ORL,L 79-90,*,43:23,6,15,.400,0,3,.000,6,12,.500,.400,6,13,.462,0,4,4,5,3,0,2,2,18,12.0,-2
42,280,42,2007-01-24,CLE,,PHI,L 115-118 (2OT),*,53:10,14,26,.538,3,8,.375,11,18,.611,.596,8,13,.615,2,8,10,5,1,0,4,2,39,27.9,-8
42,,43,2007-01-26,CLE,@,PHI,W 105-97,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,281,44,2007-01-28,CLE,,PHO,L 100-115,*,42:04,12,22,.545,3,6,.500,9,16,.563,.614,3,6,.500,2,7,9,5,2,0,3,2,30,23.4,-8
43,,45,2007-01-30,CLE,,GSW,W 124-97,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,282,46,2007-02-01,CLE,@,MIA,L 89-92,*,35:35,6,18,.333,2,7,.286,4,11,.364,.389,3,8,.375,1,5,6,9,1,0,2,4,17,10.7,-12
45,283,47,2007-02-02,CLE,,CHA,W 101-81,*,35:39,7,13,.538,0,1,.000,7,12,.583,.538,4,8,.500,1,9,10,3,2,0,1,1,18,16.2,17
46,284,48,2007-02-04,CLE,,DET,L 78-90,*,43:17,9,22,.409,1,4,.250,8,18,.444,.432,2,3,.667,0,5,5,6,2,0,3,2,21,12.7,-12
47,285,49,2007-02-07,CLE,,LAC,W 94-77,*,36:19,4,13,.308,1,2,.500,3,11,.273,.346,2,2,1.000,0,7,7,3,1,1,2,1,11,7.0,15
48,286,50,2007-02-09,CLE,,MIA,W 103-79,*,41:08,12,22,.545,1,4,.250,11,18,.611,.568,4,8,.500,1,6,7,6,0,0,2,1,29,21.1,22
49,287,51,2007-02-11,CLE,,LAL,W 99-90,*,38:21,5,16,.313,0,2,.000,5,14,.357,.313,8,12,.667,1,7,8,5,1,1,1,3,18,13.0,3
50,288,52,2007-02-14,CLE,@,UTA,L 98-99,*,42:39,9,25,.360,0,3,.000,9,22,.409,.360,5,9,.556,3,7,10,4,1,3,0,2,23,16.8,10
51,289,53,2007-02-15,CLE,@,LAL,W 114-108,*,39:48,10,16,.625,0,1,.000,10,15,.667,.625,18,22,.818,0,4,4,3,3,0,3,4,38,30.9,4
52,290,54,2007-02-21,CLE,@,TOR,W 86-85,*,36:49,12,25,.480,0,1,.000,12,24,.500,.480,5,5,1.000,0,4,4,2,1,1,3,3,29,16.4,5
53,291,55,2007-02-22,CLE,,CHI,L 78-84,*,42:58,13,28,.464,1,4,.250,12,24,.500,.482,2,8,.250,3,4,7,2,3,0,3,1,29,16.5,3
54,292,56,2007-02-25,CLE,@,MIA,L 81-86,*,41:30,10,22,.455,2,5,.400,8,17,.471,.500,7,12,.583,0,3,3,7,0,1,2,2,29,19.3,6
55,293,57,2007-02-27,CLE,,NOK,W 97-89,*,42:50,14,22,.636,3,4,.750,11,18,.611,.705,4,7,.571,1,4,5,8,2,1,4,1,35,29.8,16
56,294,58,2007-03-01,CLE,@,DAL,L 92-95,*,39:58,17,27,.630,1,4,.250,16,23,.696,.648,4,8,.500,0,3,3,5,0,0,2,2,39,26.9,-2
57,295,59,2007-03-03,CLE,,TOR,W 120-97,*,37:22,10,20,.500,1,3,.333,9,17,.529,.525,15,17,.882,2,3,5,6,0,3,2,1,36,31.4,23
58,296,60,2007-03-05,CLE,,HOU,W 91-85,*,41:38,12,24,.500,3,6,.500,9,18,.500,.563,5,9,.556,1,11,12,8,0,0,3,2,32,24.2,-1
59,297,61,2007-03-07,CLE,@,DET,W 101-97 (OT),*,50:40,17,31,.548,1,3,.333,16,28,.571,.565,6,8,.750,2,5,7,8,3,1,4,4,41,31.9,8
60,298,62,2007-03-10,CLE,@,MIL,W 94-92,*,36:30,12,22,.545,4,6,.667,8,16,.500,.636,4,4,1.000,0,8,8,9,3,1,6,5,32,25.8,15
61,299,63,2007-03-11,CLE,,IND,W 99-88,*,38:42,10,22,.455,2,6,.333,8,16,.500,.500,4,5,.800,3,4,7,6,3,1,2,2,26,22.6,23
61,,64,2007-03-13,CLE,,SAC,W 124-100,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,300,65,2007-03-14,CLE,@,MEM,W 118-96,*,29:35,11,17,.647,4,7,.571,7,10,.700,.765,3,6,.500,1,5,6,4,3,0,2,0,29,26.3,35
63,301,66,2007-03-17,CLE,,UTA,W 82-73,*,43:40,8,21,.381,0,6,.000,8,15,.533,.381,8,13,.615,2,15,17,9,2,2,4,3,24,20.9,7
64,302,67,2007-03-20,CLE,@,CHA,L 100-108 (OT),*,46:33,12,31,.387,2,9,.222,10,22,.455,.419,11,12,.917,2,4,6,6,1,3,3,4,37,25.0,-5
65,303,68,2007-03-21,CLE,,DAL,L 90-98,*,45:27,12,28,.429,1,6,.167,11,22,.500,.446,6,7,.857,0,6,6,4,2,3,6,3,31,17.3,-6
66,304,69,2007-03-23,CLE,,NYK,W 90-68,*,38:16,8,16,.500,0,1,.000,8,15,.533,.500,5,6,.833,1,2,3,10,2,0,1,1,21,21.5,19
67,305,70,2007-03-25,CLE,,DEN,L 93-105,*,40:49,8,19,.421,1,6,.167,7,13,.538,.447,1,1,1.000,0,3,3,8,1,0,5,4,18,8.8,-13
68,306,71,2007-03-27,CLE,@,IND,W 105-94,*,40:08,8,18,.444,0,3,.000,8,15,.533,.444,10,14,.714,1,6,7,6,2,0,3,4,26,19.1,11
69,307,72,2007-03-28,CLE,@,NYK,L 93-97,*,43:55,6,20,.300,2,5,.400,4,15,.267,.350,10,14,.714,1,5,6,7,2,0,3,3,24,15.7,3
70,308,73,2007-03-31,CLE,@,CHI,W 112-108 (OT),*,47:24,14,25,.560,0,3,.000,14,22,.636,.560,11,13,.846,1,4,5,9,3,0,7,4,39,28.9,4
70,,74,2007-04-01,CLE,@,BOS,L 96-98,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,309,75,2007-04-03,CLE,@,MIN,W 101-88,*,41:49,13,24,.542,0,2,.000,13,22,.591,.542,5,5,1.000,2,10,12,6,4,1,2,1,31,30.3,21
72,310,76,2007-04-05,CLE,,MIA,L 90-94 (OT),*,48:36,11,21,.524,2,5,.400,9,16,.563,.571,11,13,.846,2,7,9,5,0,0,4,4,35,25.3,3
73,311,77,2007-04-06,CLE,@,WAS,W 99-94,*,44:25,7,23,.304,0,3,.000,7,20,.350,.304,11,14,.786,0,6,6,5,1,1,2,3,25,14.3,5
74,312,78,2007-04-08,CLE,@,DET,L 82-87,*,43:06,5,16,.313,1,4,.250,4,12,.333,.344,9,11,.818,1,4,5,6,1,0,5,2,20,11.3,-11
75,313,79,2007-04-12,CLE,,NJN,W 94-76,*,35:15,15,27,.556,0,1,.000,15,26,.577,.556,5,9,.556,3,5,8,4,2,1,2,1,35,27.2,21
76,314,80,2007-04-14,CLE,,ATL,W 110-76,*,31:57,8,16,.500,3,6,.500,5,10,.500,.594,4,5,.800,1,4,5,6,1,1,0,1,23,22.0,25
77,315,81,2007-04-17,CLE,@,PHI,W 98-92,*,36:03,7,15,.467,0,2,.000,7,13,.538,.467,4,7,.571,1,4,5,6,0,0,1,3,18,13.0,-4
78,316,82,2007-04-18,CLE,,MIL,W 109-96,*,39:58,9,18,.500,1,4,.250,8,14,.571,.528,5,10,.500,0,5,5,9,2,0,2,2,24,20.0,22
