Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,473,1,2009-10-27,CLE,,BOS,L 89-95,*,44:55,12,22,.545,4,9,.444,8,13,.615,.636,10,13,.769,0,4,4,8,2,4,5,4,38,31.2,0
2,474,2,2009-10-28,CLE,@,TOR,L 91-101,*,39:47,7,19,.368,1,5,.200,6,14,.429,.395,8,14,.571,2,9,11,12,2,0,4,1,23,20.2,2
3,475,3,2009-10-30,CLE,@,MIN,W 104-87,*,33:26,10,18,.556,2,3,.667,8,15,.533,.611,2,3,.667,2,7,9,6,1,1,2,1,24,22.0,17
4,476,4,2009-10-31,CLE,,CHA,W 90-79,*,37:14,5,11,.455,0,1,.000,5,10,.500,.455,4,6,.667,1,6,7,9,0,0,4,1,14,11.9,19
5,477,5,2009-11-03,CLE,,WAS,W 102-90,*,35:59,7,16,.438,2,7,.286,5,9,.556,.500,11,13,.846,3,5,8,6,3,0,4,0,27,24.6,5
6,478,6,2009-11-05,CLE,,CHI,L 85-86,*,38:13,9,17,.529,1,4,.250,8,13,.615,.559,6,9,.667,0,7,7,6,1,1,3,0,25,20.5,-1
7,479,7,2009-11-06,CLE,@,NYK,W 100-91,*,35:37,12,17,.706,2,4,.500,10,13,.769,.765,7,9,.778,0,8,8,9,3,0,7,3,33,28.6,8
8,480,8,2009-11-11,CLE,@,ORL,W 102-93,*,39:07,13,23,.565,2,3,.667,11,20,.550,.609,8,9,.889,2,6,8,4,1,0,4,2,36,26.9,7
9,481,9,2009-11-12,CLE,@,MIA,W 111-104,*,38:53,8,20,.400,2,4,.500,6,16,.375,.450,16,18,.889,1,3,4,7,2,1,2,2,34,28.8,6
10,482,10,2009-11-14,CLE,,UTA,W 107-103,*,37:33,6,15,.400,0,3,.000,6,12,.500,.400,9,12,.750,0,6,6,9,2,1,2,1,21,20.1,6
11,483,11,2009-11-17,CLE,,GSW,W 114-108,*,38:32,11,19,.579,1,5,.200,10,14,.714,.605,8,10,.800,0,5,5,12,1,2,2,2,31,30.8,8
12,484,12,2009-11-18,CLE,@,WAS,L 91-108,*,35:08,12,20,.600,3,7,.429,9,13,.692,.675,7,8,.875,0,2,2,9,2,0,6,4,34,25.7,-12
13,485,13,2009-11-20,CLE,@,IND,W 105-95,*,37:53,13,25,.520,1,3,.333,12,22,.545,.540,13,14,.929,2,7,9,7,1,1,2,1,40,35.0,4
14,486,14,2009-11-21,CLE,,PHI,W 97-91,*,38:32,13,20,.650,2,4,.500,11,16,.688,.700,4,6,.667,0,7,7,9,0,0,5,3,32,24.6,11
15,487,15,2009-11-25,CLE,@,DET,W 98-88,*,38:49,12,24,.500,1,4,.250,11,20,.550,.521,9,11,.818,1,7,8,7,1,0,5,2,34,24.1,12
16,488,16,2009-11-27,CLE,@,CHA,L 87-94,*,38:01,10,19,.526,2,7,.286,8,12,.667,.579,3,4,.750,0,6,6,4,0,0,6,4,25,12.3,3
17,489,17,2009-11-28,CLE,,DAL,W 111-95,*,36:21,10,20,.500,0,2,.000,10,18,.556,.500,5,7,.714,0,5,5,12,0,0,1,2,25,22.3,8
18,490,18,2009-12-02,CLE,,PHO,W 107-90,*,34:37,6,15,.400,0,3,.000,6,12,.500,.400,0,0,,1,7,8,10,1,1,3,0,12,12.4,19
19,491,19,2009-12-04,CLE,,CHI,W 101-87,*,34:12,8,17,.471,1,3,.333,7,14,.500,.500,6,10,.600,0,6,6,11,0,0,1,1,23,20.8,19
20,492,20,2009-12-06,CLE,@,MIL,W 101-86,*,32:18,4,10,.400,0,0,,4,10,.400,.400,6,7,.857,1,4,5,10,1,1,5,2,14,13.0,8
21,493,21,2009-12-08,CLE,@,MEM,L 109-111 (OT),*,44:47,14,29,.483,4,11,.364,10,18,.556,.552,11,12,.917,4,9,13,6,0,1,5,2,43,32.5,6
22,494,22,2009-12-09,CLE,@,HOU,L 85-95,*,39:40,8,21,.381,2,4,.500,6,17,.353,.429,9,10,.900,1,5,6,7,1,1,5,2,27,18.1,-13
23,495,23,2009-12-11,CLE,,POR,W 104-99,*,37:36,14,24,.583,1,2,.500,13,22,.591,.604,4,6,.667,1,6,7,7,1,2,4,1,33,26.4,8
24,496,24,2009-12-13,CLE,@,OKC,W 102-89,*,38:35,16,29,.552,5,8,.625,11,21,.524,.638,7,10,.700,0,7,7,6,4,1,1,1,44,38.5,13
25,497,25,2009-12-15,CLE,,NJN,W 99-89,*,40:28,9,19,.474,1,5,.200,8,14,.571,.500,4,6,.667,1,5,6,7,2,0,6,3,23,14.4,7
26,498,26,2009-12-16,CLE,@,PHI,W 108-101,*,40:17,12,26,.462,3,6,.500,9,20,.450,.519,9,11,.818,1,5,6,7,3,1,3,2,36,28.8,10
27,499,27,2009-12-18,CLE,,MIL,W 85-82,*,38:22,6,13,.462,2,4,.500,4,9,.444,.538,12,14,.857,1,9,10,8,0,3,6,1,26,23.2,3
28,500,28,2009-12-20,CLE,@,DAL,L 95-102,*,43:05,9,23,.391,2,6,.333,7,17,.412,.435,5,7,.714,0,3,3,6,2,2,2,3,25,17.0,-5
29,501,29,2009-12-21,CLE,@,PHO,W 109-91,*,38:26,11,21,.524,1,3,.333,10,18,.556,.548,6,6,1.000,1,5,6,4,2,0,3,3,29,21.5,26
30,502,30,2009-12-23,CLE,@,SAC,W 117-104 (OT),*,43:41,14,30,.467,1,4,.250,13,26,.500,.483,5,7,.714,4,12,16,10,0,0,2,1,34,28.8,26
31,503,31,2009-12-25,CLE,@,LAL,W 102-87,*,40:44,9,19,.474,2,7,.286,7,12,.583,.526,6,11,.545,0,4,4,9,2,1,7,3,26,16.3,8
32,504,32,2009-12-27,CLE,,HOU,W 108-83,*,29:26,12,20,.600,2,5,.400,10,15,.667,.650,3,4,.750,2,3,5,6,3,1,1,0,29,28.6,16
33,505,33,2009-12-29,CLE,@,ATL,W 95-84,*,39:36,6,20,.300,0,5,.000,6,15,.400,.300,2,3,.667,1,7,8,10,5,1,4,2,14,12.7,6
34,506,34,2009-12-30,CLE,,ATL,W 106-101,*,43:12,15,23,.652,4,6,.667,11,17,.647,.739,14,16,.875,3,7,10,6,2,2,3,3,48,44.7,7
35,507,35,2010-01-02,CLE,@,NJN,W 94-86,*,36:27,7,16,.438,1,4,.250,6,12,.500,.469,13,15,.867,1,8,9,7,1,2,1,0,28,28.2,10
36,508,36,2010-01-03,CLE,,CHA,L 88-91,*,42:51,13,21,.619,2,6,.333,11,15,.733,.667,1,2,.500,0,7,7,6,1,1,1,3,29,24.9,-2
37,509,37,2010-01-06,CLE,,WAS,W 121-98,*,30:50,7,12,.583,1,4,.250,6,8,.750,.625,8,11,.727,2,5,7,8,1,2,1,0,23,26.1,16
38,510,38,2010-01-08,CLE,@,DEN,L 97-99,*,41:18,12,28,.429,2,8,.250,10,20,.500,.464,9,13,.692,2,4,6,7,1,0,8,1,35,18.7,6
39,511,39,2010-01-10,CLE,@,POR,W 106-94,*,45:16,13,19,.684,3,4,.750,10,15,.667,.763,12,14,.857,0,10,10,8,0,1,3,1,41,38.0,16
40,512,40,2010-01-11,CLE,@,GSW,W 117-114,*,41:37,12,23,.522,1,4,.250,11,19,.579,.543,12,14,.857,1,7,8,11,2,4,2,1,37,37.8,12
