Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,1194,70,2019-03-17,LAL,@,NYK,L 123-124,*,35:00,11,26,.423,0,6,.000,11,20,.550,.423,11,13,.846,2,4,6,8,0,1,2,2,33,24.5,9
51,,71,2019-03-19,LAL,@,MIL,L 101-115,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,1195,72,2019-03-22,LAL,,BRK,L 106-111,*,36:42,8,25,.320,1,7,.143,7,18,.389,.340,8,12,.667,3,6,9,14,1,1,8,3,25,15.3,-2
53,1196,73,2019-03-24,LAL,,SAC,W 111-106,*,35:16,9,22,.409,3,6,.500,6,16,.375,.477,8,9,.889,2,9,11,11,2,1,4,1,29,26.9,5
54,1197,74,2019-03-26,LAL,,WAS,W 124-106,*,33:54,11,20,.550,1,6,.167,10,14,.714,.575,0,2,.000,0,7,7,14,1,0,3,1,23,22.1,3
54,,75,2019-03-27,LAL,@,UTA,L 100-115,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,1198,76,2019-03-29,LAL,,CHO,W 129-115,*,31:58,11,19,.579,4,7,.571,7,12,.583,.684,1,2,.500,0,3,3,9,0,0,6,1,27,18.5,14
55,,77,2019-03-31,LAL,@,NOP,W 130-102,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,78,2019-04-02,LAL,@,OKC,L 103-119,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,79,2019-04-04,LAL,,GSW,L 90-108,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,80,2019-04-05,LAL,@,LAC,W 122-117,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,81,2019-04-07,LAL,,UTA,W 113-109,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,82,2019-04-09,LAL,,POR,L 101-104,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
