Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,628,1,2011-12-25,MIA,@,DAL,W 105-94,*,36:16,11,19,.579,0,0,,11,19,.579,.579,15,19,.789,3,7,10,6,2,2,3,3,37,34.1,27
2,629,2,2011-12-27,MIA,,BOS,W 115-107,*,36:00,9,14,.643,0,0,,9,14,.643,.643,8,9,.889,1,5,6,5,2,1,3,3,26,23.6,-7
3,630,3,2011-12-28,MIA,@,CHA,W 96-95,*,38:49,13,23,.565,0,0,,13,23,.565,.565,9,9,1.000,0,6,6,7,3,2,2,0,35,33.2,5
4,631,4,2011-12-30,MIA,@,MIN,W 103-101,*,37:13,16,26,.615,0,1,.000,16,25,.640,.615,2,4,.500,1,7,8,10,4,1,4,2,34,31.1,14
5,632,5,2012-01-01,MIA,,CHA,W 129-90,*,28:02,6,10,.600,0,0,,6,10,.600,.600,4,6,.667,0,9,9,5,1,0,2,2,16,15.0,24
6,633,6,2012-01-02,MIA,,ATL,L 92-100,*,38:33,11,18,.611,0,0,,11,18,.611,.611,6,9,.667,2,5,7,6,0,0,4,1,28,21.3,-1
7,634,7,2012-01-04,MIA,,IND,W 118-83,*,37:41,12,21,.571,0,0,,12,21,.571,.571,9,11,.818,2,6,8,13,2,0,2,2,33,33.8,31
7,,8,2012-01-05,MIA,@,ATL,W 116-109 (3OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
8,635,9,2012-01-07,MIA,@,NJN,W 101-90,*,37:23,11,17,.647,0,1,.000,11,16,.688,.647,10,12,.833,0,7,7,9,2,1,8,2,32,26.0,7
9,636,10,2012-01-10,MIA,@,GSW,L 106-111 (OT),*,42:33,10,19,.526,0,2,.000,10,17,.588,.526,6,8,.750,1,10,11,7,2,0,5,1,26,21.1,-5
10,637,11,2012-01-11,MIA,@,LAC,L 89-95 (OT),*,41:53,7,19,.368,0,1,.000,7,18,.389,.368,9,17,.529,2,11,13,7,2,0,6,5,23,12.9,-9
11,638,12,2012-01-13,MIA,@,DEN,L 104-117,*,37:11,13,20,.650,3,5,.600,10,15,.667,.725,6,11,.545,1,4,5,6,2,1,4,0,35,29.0,-16
12,639,13,2012-01-17,MIA,,SAS,W 120-98,*,34:53,12,21,.571,4,6,.667,8,15,.533,.667,5,9,.556,1,4,5,10,0,0,4,0,33,26.4,19
13,640,14,2012-01-19,MIA,,LAL,W 98-87,*,37:13,12,27,.444,2,3,.667,10,24,.417,.481,5,7,.714,3,5,8,8,4,3,3,4,31,26.8,0
14,641,15,2012-01-21,MIA,,PHI,W 113-92,*,35:47,12,17,.706,0,0,,12,17,.706,.706,4,4,1.000,0,9,9,5,4,3,4,1,28,28.8,9
15,642,16,2012-01-22,MIA,,MIL,L 82-91,*,37:22,8,18,.444,0,1,.000,8,17,.471,.444,12,13,.923,4,9,13,5,1,0,3,2,28,24.4,-4
16,643,17,2012-01-24,MIA,,CLE,W 92-85,*,37:48,8,21,.381,1,4,.250,7,17,.412,.405,1,4,.250,1,4,5,5,2,0,5,1,18,7.3,9
17,644,18,2012-01-25,MIA,@,DET,W 101-98,*,41:39,9,20,.450,1,3,.333,8,17,.471,.475,13,14,.929,1,5,6,7,2,0,4,3,32,25.1,6
18,645,19,2012-01-27,MIA,,NYK,W 99-89,*,40:17,11,18,.611,0,2,.000,11,16,.688,.611,9,10,.900,1,7,8,7,0,0,4,2,31,25.3,4
19,646,20,2012-01-29,MIA,,CHI,W 97-93,*,40:58,12,23,.522,1,1,1.000,11,22,.500,.543,10,15,.667,1,10,11,5,0,1,6,2,35,22.8,3
20,647,21,2012-01-30,MIA,,NOH,W 109-95,*,29:44,8,12,.667,1,2,.500,7,10,.700,.708,5,7,.714,4,7,11,8,1,0,4,1,22,23.1,29
21,648,22,2012-02-01,MIA,@,MIL,L 97-105,*,40:17,14,24,.583,4,7,.571,10,17,.588,.667,8,10,.800,0,8,8,5,2,0,7,1,40,28.5,-6
22,649,23,2012-02-03,MIA,@,PHI,W 99-79,*,37:13,8,16,.500,0,1,.000,8,15,.533,.500,3,6,.500,1,11,12,8,0,2,2,2,19,18.0,19
23,650,24,2012-02-05,MIA,,TOR,W 95-89,*,38:29,10,17,.588,0,1,.000,10,16,.625,.588,10,12,.833,0,9,9,2,1,0,5,1,30,21.0,11
24,651,25,2012-02-07,MIA,,CLE,W 107-91,*,38:40,9,16,.563,0,1,.000,9,15,.600,.563,6,7,.857,1,4,5,6,2,0,6,1,24,17.7,5
25,652,26,2012-02-08,MIA,@,ORL,L 89-102,*,39:15,5,15,.333,0,2,.000,5,13,.385,.333,7,10,.700,0,6,6,10,3,0,3,0,17,16.1,-1
26,653,27,2012-02-10,MIA,@,WAS,W 106-89,*,33:17,6,14,.429,0,2,.000,6,12,.500,.429,6,7,.857,0,2,2,9,0,2,1,1,18,17.1,14
27,654,28,2012-02-12,MIA,@,ATL,W 107-87,*,30:26,6,15,.400,1,3,.333,5,12,.417,.433,10,12,.833,3,10,13,6,1,0,2,1,23,22.0,26
28,655,29,2012-02-13,MIA,@,MIL,W 114-96,*,32:54,16,21,.762,0,0,,16,21,.762,.762,3,3,1.000,3,5,8,3,1,0,2,3,35,30.2,14
29,656,30,2012-02-14,MIA,@,IND,W 105-90,*,33:24,7,15,.467,2,5,.400,5,10,.500,.533,7,8,.875,2,7,9,7,4,0,2,2,23,24.5,27
30,657,31,2012-02-17,MIA,@,CLE,W 111-87,*,30:08,11,19,.579,3,5,.600,8,14,.571,.658,3,3,1.000,2,3,5,5,1,1,2,2,28,23.8,27
31,658,32,2012-02-19,MIA,,ORL,W 90-78,*,36:38,9,14,.643,1,2,.500,8,12,.667,.679,6,7,.857,1,10,11,8,2,0,2,2,25,26.9,23
32,659,33,2012-02-21,MIA,,SAC,W 120-108,*,33:13,7,11,.636,2,2,1.000,5,9,.556,.727,2,2,1.000,0,4,4,8,0,2,3,1,18,17.9,7
33,660,34,2012-02-23,MIA,,NYK,W 102-88,*,40:41,7,16,.438,0,0,,7,16,.438,.438,6,6,1.000,1,8,9,8,5,2,4,3,20,21.5,12
34,661,35,2012-03-01,MIA,@,POR,W 107-93,*,41:02,13,22,.591,2,2,1.000,11,20,.550,.636,10,12,.833,2,9,11,6,5,1,0,1,38,40.6,8
35,662,36,2012-03-02,MIA,@,UTA,L 98-99,*,44:24,16,24,.667,1,4,.250,15,20,.750,.688,2,3,.667,1,9,10,6,0,3,0,2,35,33.1,7
36,663,37,2012-03-04,MIA,@,LAL,L 83-93,*,43:02,12,26,.462,0,4,.000,12,22,.545,.462,1,3,.333,7,6,13,7,3,2,3,1,25,23.4,-13
