Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1199,1,2019-10-22,LAL,@,LAC,L 102-112,*,36:00,7,19,.368,1,5,.200,6,14,.429,.395,3,4,.750,1,9,10,8,1,1,5,3,18,11.6,-8
2,1200,2,2019-10-25,LAL,,UTA,W 95-86,*,30:34,12,22,.545,1,4,.250,11,18,.611,.568,7,8,.875,2,5,7,10,1,0,1,0,32,30.9,17
3,1201,3,2019-10-27,LAL,,CHO,W 120-101,*,35:01,7,14,.500,1,3,.333,6,11,.545,.536,5,5,1.000,1,5,6,12,1,0,4,0,20,20.6,17
4,1202,4,2019-10-29,LAL,,MEM,W 120-91,*,28:19,8,15,.533,2,5,.400,6,10,.600,.600,5,7,.714,0,2,2,8,0,1,6,0,23,15.8,2
5,1203,5,2019-11-01,LAL,@,DAL,W 119-110 (OT),*,42:32,13,23,.565,4,9,.444,9,14,.643,.652,9,11,.818,0,12,12,16,4,1,4,5,39,40.8,15
6,1204,6,2019-11-03,LAL,@,SAS,W 103-96,*,37:18,8,23,.348,0,6,.000,8,17,.471,.348,5,10,.500,1,10,11,13,2,1,5,2,21,15.8,15
7,1205,7,2019-11-05,LAL,@,CHI,W 118-112,*,35:11,10,19,.526,2,6,.333,8,13,.615,.579,8,9,.889,0,10,10,11,2,1,2,3,30,30.5,17
8,1206,8,2019-11-08,LAL,,MIA,W 95-80,*,36:03,10,19,.526,4,7,.571,6,12,.500,.632,1,2,.500,1,3,4,6,0,0,3,2,25,17.3,16
9,1207,9,2019-11-10,LAL,,TOR,L 104-113,*,35:20,5,15,.333,0,2,.000,5,13,.385,.333,3,6,.500,3,10,13,15,0,1,2,0,13,17.6,-6
10,1208,10,2019-11-12,LAL,@,PHO,W 123-115,*,37:04,8,18,.444,1,4,.250,7,14,.500,.472,2,7,.286,0,7,7,11,0,0,1,0,19,16.4,-2
11,1209,11,2019-11-13,LAL,,GSW,W 120-94,*,26:29,11,21,.524,1,5,.200,10,16,.625,.548,0,1,.000,2,4,6,12,1,1,4,1,23,20.6,13
12,1210,12,2019-11-15,LAL,,SAC,W 99-97,*,38:40,10,20,.500,2,7,.286,8,13,.615,.550,7,7,1.000,3,1,4,11,3,0,2,1,29,29.7,13
13,1211,13,2019-11-17,LAL,,ATL,W 122-101,*,33:07,13,21,.619,6,10,.600,7,11,.636,.762,1,1,1.000,0,7,7,12,1,1,0,1,33,35.3,30
14,1212,14,2019-11-19,LAL,,OKC,W 112-107,*,37:08,10,21,.476,2,5,.400,8,16,.500,.524,3,5,.600,0,11,11,10,2,0,7,2,25,18.0,6
15,1213,15,2019-11-22,LAL,@,OKC,W 130-127,*,35:37,9,20,.450,1,3,.333,8,17,.471,.475,4,6,.667,1,5,6,14,1,1,5,2,23,19.7,3
16,1214,16,2019-11-23,LAL,@,MEM,W 109-108,*,38:50,14,27,.519,2,9,.222,12,18,.667,.556,0,0,,1,5,6,4,2,0,5,1,30,18.3,7
17,1215,17,2019-11-25,LAL,@,SAS,W 114-104,*,35:08,13,24,.542,4,7,.571,9,17,.529,.625,3,8,.375,1,3,4,14,0,1,3,2,33,27.7,6
18,1216,18,2019-11-27,LAL,@,NOP,W 114-110,*,37:35,10,18,.556,2,6,.333,8,12,.667,.611,7,11,.636,2,3,5,11,2,1,5,2,29,25.7,3
19,1217,19,2019-11-29,LAL,,WAS,W 125-103,*,24:36,9,16,.563,4,8,.500,5,8,.625,.688,1,2,.500,0,3,3,11,2,1,6,1,23,19.9,20
20,1218,20,2019-12-01,LAL,,DAL,L 100-114,*,36:25,11,20,.550,0,5,.000,11,15,.733,.550,3,3,1.000,0,9,9,8,4,0,6,3,25,20.5,-16
21,1219,21,2019-12-03,LAL,@,DEN,W 105-96,*,36:53,9,18,.500,1,4,.250,8,14,.571,.528,6,6,1.000,2,4,6,9,0,0,4,3,25,19.7,4
22,1220,22,2019-12-04,LAL,@,UTA,W 121-96,*,29:28,9,21,.429,1,6,.167,8,15,.533,.452,1,1,1.000,0,4,4,12,1,0,1,3,20,17.3,14
23,1221,23,2019-12-06,LAL,@,POR,W 136-113,*,33:45,11,23,.478,4,9,.444,7,14,.500,.565,5,7,.714,1,6,7,8,0,1,3,1,31,23.9,21
24,1222,24,2019-12-08,LAL,,MIN,W 142-125,*,27:51,12,20,.600,6,8,.750,6,12,.500,.750,2,2,1.000,1,3,4,13,1,0,5,4,32,27.9,24
25,1223,25,2019-12-11,LAL,@,ORL,W 96-87,*,37:55,11,24,.458,1,6,.167,10,18,.556,.479,2,5,.400,2,9,11,10,2,0,6,2,25,17.7,8
26,1224,26,2019-12-13,LAL,@,MIA,W 113-110,*,37:26,11,22,.500,4,8,.500,7,14,.500,.591,2,4,.500,2,7,9,12,1,0,8,2,28,20.3,9
