Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,80,1,2004-11-03,CLE,,IND,L 104-109 (2OT),*,50:56,8,19,.421,2,5,.400,6,14,.429,.474,10,12,.833,1,4,5,8,1,3,6,2,28,20.9,-10
2,81,2,2004-11-04,CLE,@,MIA,L 86-92,*,42:20,9,22,.409,2,3,.667,7,19,.368,.455,1,1,1.000,3,3,6,8,1,0,1,0,21,17.8,-8
3,82,3,2004-11-06,CLE,@,MIL,L 88-102,*,41:53,8,20,.400,0,3,.000,8,17,.471,.400,15,22,.682,2,6,8,6,3,0,4,0,31,23.8,-12
4,83,4,2004-11-09,CLE,@,ATL,W 93-79,*,48:00,8,17,.471,1,4,.250,7,13,.538,.500,8,12,.667,1,9,10,4,4,2,3,2,25,22.5,14
5,84,5,2004-11-10,CLE,,PHO,W 114-109 (OT),*,48:21,13,24,.542,1,2,.500,12,22,.545,.563,11,12,.917,3,7,10,6,3,3,3,1,38,36.1,14
6,85,6,2004-11-13,CLE,,WAS,W 105-74,*,37:24,10,20,.500,0,3,.000,10,17,.588,.500,4,5,.800,1,8,9,4,3,2,4,0,24,19.9,25
7,86,7,2004-11-15,CLE,,GSW,W 99-88,*,41:58,12,22,.545,3,5,.600,9,17,.529,.614,6,8,.750,2,10,12,4,2,1,1,1,33,30.1,15
8,87,8,2004-11-18,CLE,@,CHA,W 106-89,*,29:06,8,14,.571,2,3,.667,6,11,.545,.643,1,2,.500,1,5,6,9,0,0,1,3,19,18.3,21
9,88,9,2004-11-20,CLE,,CHA,W 100-84,*,37:49,11,20,.550,0,2,.000,11,18,.611,.550,3,4,.750,5,3,8,2,3,1,7,0,25,17.5,24
10,89,10,2004-11-21,CLE,@,NYK,L 88-98,*,40:41,5,15,.333,1,3,.333,4,12,.333,.367,2,3,.667,2,7,9,10,1,1,5,3,13,10.1,1
11,90,11,2004-11-24,CLE,,DET,W 92-76,*,37:30,15,22,.682,2,3,.667,13,19,.684,.727,11,12,.917,3,3,6,5,3,1,3,3,43,39.2,12
12,91,12,2004-11-26,CLE,@,BOS,W 98-96,*,42:48,9,13,.692,0,2,.000,9,11,.818,.692,2,3,.667,0,6,6,8,3,1,2,2,20,22.4,6
13,92,13,2004-11-27,CLE,,CHI,W 96-74,*,31:55,11,17,.647,1,2,.500,10,15,.667,.676,3,4,.750,1,6,7,7,1,0,2,0,26,24.5,25
14,93,14,2004-11-29,CLE,@,LAC,L 82-94,*,42:19,9,19,.474,0,2,.000,9,17,.529,.474,4,5,.800,1,6,7,5,6,1,3,2,22,20.8,-16
15,94,15,2004-12-01,CLE,@,PHO,L 101-120,*,40:47,6,19,.316,0,2,.000,6,17,.353,.316,3,4,.750,1,2,3,6,2,1,6,2,15,5.1,-17
16,95,16,2004-12-02,CLE,@,DEN,W 92-73,*,41:10,8,17,.471,0,0,,8,17,.471,.471,1,2,.500,1,7,8,9,2,1,5,3,17,13.5,23
17,96,17,2004-12-04,CLE,,TOR,W 105-97,*,42:50,10,17,.588,1,3,.333,9,14,.643,.618,6,7,.857,0,6,6,10,2,1,3,2,27,26.4,15
18,97,18,2004-12-07,CLE,,NJN,W 103-97,*,46:05,11,22,.500,0,1,.000,11,21,.524,.500,5,6,.833,0,2,2,8,3,0,3,4,27,20.2,6
19,98,19,2004-12-08,CLE,@,CHI,L 85-113,*,37:18,5,15,.333,0,2,.000,5,13,.385,.333,9,12,.750,0,2,2,6,1,1,4,2,19,11.0,-22
20,99,20,2004-12-11,CLE,@,SAS,L 97-116,*,41:13,10,19,.526,1,3,.333,9,16,.563,.553,2,2,1.000,3,3,6,10,4,0,3,2,23,23.9,-18
21,100,21,2004-12-13,CLE,@,MEM,W 92-86,*,45:49,14,22,.636,1,3,.333,13,19,.684,.659,2,4,.500,0,5,5,8,7,0,3,2,31,30.7,10
22,101,22,2004-12-15,CLE,,POR,W 112-88,*,37:09,10,18,.556,2,3,.667,8,15,.533,.611,3,3,1.000,2,9,11,7,3,2,3,1,25,26.4,18
23,102,23,2004-12-16,CLE,@,DET,L 69-81,*,45:04,4,21,.190,0,2,.000,4,19,.211,.190,3,5,.600,1,8,9,7,4,1,3,2,11,6.0,-8
24,103,24,2004-12-18,CLE,,BOS,L 107-114 (OT),*,40:32,12,25,.480,3,5,.600,9,20,.450,.540,4,8,.500,1,4,5,4,3,1,4,6,31,18.7,-1
25,104,25,2004-12-21,CLE,,MIN,W 107-97,*,43:11,10,18,.556,0,1,.000,10,17,.588,.556,6,8,.750,0,6,6,12,1,0,2,2,26,25.0,13
26,105,26,2004-12-22,CLE,@,NJN,L 90-92,*,42:38,7,18,.389,1,1,1.000,6,17,.353,.417,8,10,.800,1,8,9,9,1,0,4,2,23,18.0,-3
27,106,27,2004-12-26,CLE,,NOH,W 100-91,*,44:40,7,16,.438,0,1,.000,7,15,.467,.438,8,9,.889,1,8,9,14,4,1,5,2,22,25.0,8
28,107,28,2004-12-28,CLE,@,ATL,W 111-102,*,46:20,13,25,.520,3,5,.600,10,20,.500,.580,11,14,.786,1,8,9,7,1,0,1,2,40,33.7,8
29,108,29,2004-12-29,CLE,,HOU,L 87-98,*,17:23,0,5,.000,0,1,.000,0,4,.000,.000,3,5,.600,0,3,3,5,0,0,0,0,3,3.1,-10
30,109,30,2005-01-03,CLE,@,CHA,W 94-83,*,40:18,11,19,.579,0,3,.000,11,16,.688,.579,4,6,.667,2,6,8,6,2,0,1,3,26,23.5,14
31,110,31,2005-01-05,CLE,,ATL,W 101-85,*,39:39,7,14,.500,2,5,.400,5,9,.556,.571,4,6,.667,1,5,6,9,1,1,2,4,20,18.8,10
32,111,32,2005-01-08,CLE,,NYK,W 104-79,*,32:42,10,14,.714,0,0,,10,14,.714,.714,2,2,1.000,1,2,3,4,0,2,8,2,22,12.9,5
33,112,33,2005-01-11,CLE,,CHA,W 100-98 (OT),*,49:02,11,24,.458,2,5,.400,9,19,.474,.500,5,7,.714,1,7,8,9,2,1,8,1,29,19.2,7
34,113,34,2005-01-13,CLE,@,LAL,L 94-98,*,44:20,12,26,.462,1,4,.250,11,22,.500,.481,3,4,.750,3,10,13,9,1,1,4,1,28,22.9,-1
35,114,35,2005-01-15,CLE,@,UTA,W 84-71,*,41:18,9,20,.450,0,1,.000,9,19,.474,.450,9,14,.643,1,7,8,5,5,0,3,2,27,22.1,11
36,115,36,2005-01-16,CLE,@,SEA,L 97-105,*,44:09,14,30,.467,3,7,.429,11,23,.478,.517,4,6,.667,2,3,5,11,4,1,1,4,35,30.9,-7
37,116,37,2005-01-19,CLE,@,POR,W 107-101,*,43:47,11,16,.688,1,1,1.000,10,15,.667,.719,4,6,.667,1,10,11,10,4,0,2,4,27,30.5,0
38,117,38,2005-01-20,CLE,@,SAC,L 96-123,*,36:37,9,19,.474,0,1,.000,9,18,.500,.474,0,1,.000,1,7,8,6,1,0,3,0,18,12.9,-24
39,118,39,2005-01-22,CLE,@,GSW,W 105-87,*,43:15,13,24,.542,0,1,.000,13,23,.565,.542,2,2,1.000,1,11,12,10,1,1,3,1,28,25.7,19
40,119,40,2005-01-24,CLE,,WAS,L 97-106,*,48:00,12,26,.462,1,1,1.000,11,25,.440,.481,6,10,.600,4,6,10,8,2,1,5,3,31,22.7,-9
41,120,41,2005-01-26,CLE,,MEM,W 114-111,*,41:47,10,16,.625,4,6,.667,6,10,.600,.750,3,4,.750,1,8,9,15,3,2,5,1,27,32.0,7
41,,42,2005-01-28,CLE,@,NYK,L 96-99,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
41,,43,2005-01-30,CLE,,MIL,W 104-87,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,121,44,2005-02-01,CLE,@,ORL,L 102-105,*,43:20,10,20,.500,0,3,.000,10,17,.588,.500,8,13,.615,2,3,5,7,0,1,3,2,28,20.1,-3
43,122,45,2005-02-03,CLE,@,MIA,L 88-100,*,45:57,11,23,.478,1,3,.333,10,20,.500,.500,8,12,.667,2,0,2,10,3,0,2,2,31,26.3,-8
44,123,46,2005-02-05,CLE,,ORL,W 101-92,*,45:36,9,21,.429,0,3,.000,9,18,.500,.429,12,13,.923,0,6,6,9,2,0,1,2,30,26.8,10
45,124,47,2005-02-08,CLE,,TOR,W 104-91,*,36:10,6,14,.429,0,3,.000,6,11,.545,.429,3,4,.750,1,7,8,11,3,0,2,1,15,18.3,15
46,125,48,2005-02-11,CLE,,DEN,L 101-106,*,43:05,12,29,.414,1,6,.167,11,23,.478,.431,10,12,.833,2,4,6,6,1,0,4,2,35,21.7,-13
