Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1266,1,2020-12-22,LAL,,LAC,L 109-116,*,28:21,7,17,.412,3,8,.375,4,9,.444,.500,5,7,.714,2,3,5,5,0,0,4,2,22,13.1,2
2,1267,2,2020-12-25,LAL,,DAL,W 138-115,*,31:24,8,18,.444,3,8,.375,5,10,.500,.528,3,4,.750,1,6,7,10,1,0,4,0,22,18.7,16
3,1268,3,2020-12-27,LAL,,MIN,W 127-91,*,26:12,6,13,.462,1,5,.200,5,8,.625,.500,5,7,.714,0,9,9,5,1,0,4,1,18,13.3,16
4,1269,4,2020-12-28,LAL,,POR,L 107-115,*,35:55,11,20,.550,3,7,.429,8,13,.615,.625,4,5,.800,2,7,9,6,2,1,3,2,29,25.6,0
5,1270,5,2020-12-30,LAL,@,SAS,W 121-107,*,35:13,11,23,.478,1,3,.333,10,20,.500,.500,3,5,.600,0,5,5,8,1,1,2,1,26,19.9,-1
6,1271,6,2021-01-01,LAL,@,SAS,W 109-103,*,35:41,8,22,.364,3,7,.429,5,15,.333,.432,7,7,1.000,1,10,11,10,2,0,4,0,26,22.5,18
7,1272,7,2021-01-03,LAL,@,MEM,W 108-94,*,32:00,9,16,.563,3,6,.500,6,10,.600,.656,1,3,.333,0,13,13,8,1,0,2,2,22,21.3,19
8,1273,8,2021-01-05,LAL,@,MEM,W 94-92,*,34:05,11,20,.550,1,4,.250,10,16,.625,.575,3,3,1.000,2,10,12,7,1,1,6,0,26,21.4,20
9,1274,9,2021-01-07,LAL,,SAS,L 109-118,*,34:54,8,15,.533,4,7,.571,4,8,.500,.667,7,11,.636,0,6,6,12,0,0,4,3,27,23.1,-10
10,1275,10,2021-01-08,LAL,,CHI,W 117-115,*,34:09,11,21,.524,0,5,.000,11,16,.688,.524,6,8,.750,0,7,7,7,0,0,4,1,28,19.5,9
