Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1311,1,2021-10-19,LAL,,GSW,L 114-121,*,36:44,13,23,.565,5,11,.455,8,12,.667,.674,3,6,.500,1,10,11,5,1,1,4,5,34,24.8,-2
2,1312,2,2021-10-22,LAL,,PHO,L 105-115,*,36:32,8,18,.444,5,9,.556,3,9,.333,.583,4,4,1.000,0,2,2,5,2,0,5,4,25,15.1,-6
3,1313,3,2021-10-24,LAL,,MEM,W 121-118,*,40:18,7,19,.368,4,9,.444,3,10,.300,.474,1,2,.500,0,6,6,6,2,2,3,1,19,14.1,-1
3,,4,2021-10-26,LAL,@,SAS,W 125-121 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
3,,5,2021-10-27,LAL,@,OKC,L 115-123,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
4,1314,6,2021-10-29,LAL,,CLE,W 113-101,*,37:57,10,22,.455,1,10,.100,9,12,.750,.477,5,5,1.000,1,2,3,8,3,1,7,1,26,17.8,9
5,1315,7,2021-10-31,LAL,,HOU,W 95-85,*,34:32,6,19,.316,0,6,.000,6,13,.462,.316,3,4,.750,1,6,7,8,4,1,2,0,15,14.5,7
6,1316,8,2021-11-02,LAL,,HOU,W 119-117,*,36:16,13,21,.619,2,4,.500,11,17,.647,.667,2,2,1.000,0,4,4,10,2,0,4,3,30,25.5,8
6,,9,2021-11-04,LAL,,OKC,L 104-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,10,2021-11-06,LAL,@,POR,L 90-105,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,11,2021-11-08,LAL,,CHO,W 126-123 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
